,Title,Author,Abstract,Link,Number,Date
BIS1112,Trust bridges and money flows," Tobias Adrian, Rodney Garratt, Dong He and Tommaso Mancini-Griffoli","Cross-border payments are expensive, slow, and opaque. These problems reflect multiple frictions, many of which boil down to limited trust among counterparties. Trust plays a central role in exchanging credit-based money. End users need to trust the issuers of money, and issuers must trust users to satisfy financial integrity requirements.",http://www.bis.org/publ/work1112.htm,1112,2023-07-25T12:00:00Z
CHICAGO2023-23,Preferences over the Racial Composition of Neighborhoods: Estimates and Implications,"Morris A.  Davis, Jesse Gregory, Daniel Hartley","We estimate the parameters of a dynamic, forward-looking neighborhood choice model in 197 metro areas where households have preferences over the racial composition of neighborhoods. Our inclusion of multiple metro areas in the estimation sample enables us to develop a new, shift-share IV strategy to estimate the impact of the racial composition of neighborhoods on location choice that relies only on across-metro comparisons of similarly situated neighborhoods. For the “shift,” we use national data to determine the probabilities different types of households live in different neighborhoods in a metro when neighborhoods are ranked only by within-metro income quantiles. The “shares” are the metro-level population shares of each household type. Thus, the instrument predicts variation in neighborhood-level racial shares, which for a given within-metro income quantile is attributable exclusively to variation in metrolevel type shares. The overall IV estimate is a weighted average of the contribution from all of the income quantiles. We use the tools of Goldsmith-Pinkham, Sorkin, and Swift (2020) to analyze the comparisons that are weighted most heavily for identification and to derive appropriate balance tests. Our key finding is that many households have very strong preferences to live in same-race neighborhoods. These preferences are so strong that the current demographic composition of neighborhoods is not stable.",https://www.chicagofed.org/publications/working-papers/2023/2023-23,2023-23,Jul-23
CHICAGO2023-24,Financial Crises and the Global Supply Network: Evidence from Multinational Enterprises,"Sergi Basco, Giulia Felice, Bruno Merlevede, Martí Mestieri","This paper empirically examines the effects of financial crises on the organization of production of multinational enterprises. We construct a panel of European multinational networks from 2003 through 2015. We use as a financial shock the increase in risk premia between August 2007 and July 2012 and build a multinational-specific shock based on the network structure before the shock. Multinationals facing a larger financial shock perform worse in terms of revenue, employment, and growth in the number of affiliates. Lower growth in the number of affiliates operates through a negative effect on domestic and foreign affiliates, and is concentrated in affiliates in a vertical relationship with the parent. These effects built up slowly over time. Negative effects are driven by multinationals with initially more leveraged parents, who adjust to the financial shock by reducing relatively more the number of foreign affiliates. These findings lend support to the hypothesis of financial frictions shaping multinational activity.",https://www.chicagofed.org/publications/working-papers/2023/2023-24,2023-24,Jul-23
CHICAGO2023-25,A Comment on Monetary Policy and Rational Asset Price Bubbles,"Franklin Allen, Gadi Barlevy, Douglas Gale","Galí (2014) showed that a monetary policy rule that raises interest rates in response to bubbles can paradoxically lead to larger bubbles. This comment shows that a central bank that wants to dampen bubbles can always do so by raising interest rates aggressively enough. This result is different from the Miao, Shen and Wang (2019) comment on Galí’s paper. They argue Galí’s model contains additional equilibria in which more aggressive rules dampen bubbles. We show that for these equilibria, more aggressive rules involve threats to raise interest rates more than actual rate increases.",https://www.chicagofed.org/publications/working-papers/2023/2023-25,2023-25,Jul-23
ECB2833,Quantifying financial stability trade-offs for monetary policy: a quantile VAR approach,"Quantifying financial stability trade- offs for monetary policy: a quantile VAR approach Sulkhan Chavleishvili , Manfred Kremer , Frederik Lund -Thomsen","We propose a novel empirical approach to inform monetary policymakers about the potential effects of policy action when facing trade-offs between financial and macroeconomic stability. We estimate a quantile vector autoregression (QVAR) for the euro area covering the real economy, monetary policy and measures of ex ante and ex post systemic risk representing financial stability. Policy implications are derived from scenario analyses where the associated costs and benefits are functions of the projected paths of the potentially asymmetric distributions of inflation and economic growth, allowing us to take a risk management perspective. One exercise considers the intertemporal financial stability trade-off in the context of the global financial crisis, where we find ex post evidence in favour of monetary policy leaning against the financial cycle. Another exercise considers the short-term financial stability trade-off when deciding the appropriate speed of monetary policy tightening to combat inflationary pressures in a fragile financial environment.",https://www.ecb.europa.eu//pub/pdf/scpwps/ecb.wp2833~99c23821b1.en.pdf,2833,"Mon, 31 Jul 2023 11:00:00 +0200"
ECB2834,Energy supply shocks’ nonlinearities on output and prices,"Roberto A. De Santis , Tommaso Tornese","We use a Bayesian Threshold Vector Autoregression model identified through sign and narrative restrictions to uncover non-linearities in the propagation of energy supply shocks. We find that the transmission of energy supply shocks on consumer prices is stronger in high-inflation regimes, supporting state-dependent models. The faster pass-thorough of energy supply shocks to consumer prices (excl. energy) cushions the drop in output in the short term. Energy supply shocks have a stronger impact on output in the medium-term with manufacturing being more adversely affected than GDP. Large energy supply shocks shift the economy to another state but after two and half years the mean-reversion to lower inflation implies a more moderate transmission mechanism, highlighting the importance of state-dependent impulse responses. The energy supply shocks between July 2021 and June 2022 are massive amounting to 3.9 standard deviations on average each month.",https://www.ecb.europa.eu//pub/pdf/scpwps/ecb.wp2834~db448f2eb2.en.pdf,2834,"Mon, 31 Jul 2023 11:00:00 +0200"
IMFWPIEA2023150,Household Savings in Selected Southern European Countries Evidence from Cross-Country Micro-Level Data,"Kamil Dybczak, Shiqing Hua, Mariusz Jarmuzek, Ruifeng Zhang, Yipei Zhang","The paper looks into the puzzle of low household savings in three Southern European (SE3) countries – Cyprus, Greece, and Portugal. Building on the household saving drivers literature, we employ cross-country micro-level data and investigate the key saving patterns, examining their heterogeneity across households in SE3 countries relative to the EA average. The results confirm the prominent role of income, along with interest rate, inflation, fiscal balance, and debt in shaping household savings in SE3 countries. Quantile regressions employed to analyze saving behavior across the distribution of households suggest that households with lower savings tend to see their savings dip (or dissavings rise) more-than-proportionately with shocks to income, interest rate, inflation, and government balance. Our policy simulations across the distribution of households suggest that targeted rather than universal policy intervention could improve household savings, especially of the most vulnerable ones.",https://www.imf.org/en/Publications/WP/Issues/2023/07/21/Household-Savings-in-Selected-Southern-European-Countries-Evidence-from-Cross-Country-Micro-535903,WPIEA2023150,"Fri, 21 Jul 2023 00:00:00 -0400"
IMFWPIEA2023151,Digital Tokens: A Legal Perspective,José M. Garrido,"Tokens are units digitally represented in a distributed ledger or blockchain. The various uses of this technology have the potential to transform a wide array of economic activities, from traditional commercial transactions to sophisticated financial undertakings. This paper explores the similarities and differences of tokens with traditional legal instruments in commercial law and how tokens could offer superior solutions, provided that proper legal foundations are established for their operation, including aspects of the law of securities and consumer protection law.",https://www.imf.org/en/Publications/WP/Issues/2023/07/28/Digital-Tokens-A-Legal-Perspective-537041,WPIEA2023151,"Fri, 28 Jul 2023 00:00:00 -0400"
IMFWPIEA2023152,Constructing a Positive Shock: Growth Through the Lens of Option Pricing,Mehmet Cangul,"Low-income economies face negative shocks whose frequency and disproportionate impact overcome growth trajectories, producing a negative drift. COVID-19 was the latest such episode. To escape this negative drift, and build a durable recovery, there is a need for acounter-balancing force: to construct a positive shock. Growth is realized through decisions that fall under two categories, routine and non-linear. While routine decisions modify existing economic behavior along the same path, non-linear decisions describe riskier options that involve transformation. Option pricing theory can be useful to describe the latter, and construct the positive shock required to escape the negative drift.",https://www.imf.org/en/Publications/WP/Issues/2023/07/28/Constructing-a-Positive-Shock-Growth-Through-the-Lens-of-Option-Pricing-535088,WPIEA2023152,"Fri, 28 Jul 2023 00:00:00 -0400"
IMFWPIEA2023153,Assessing the Impact of Policy Changes on a Nowcast,"Sam Ouliaris, Celine Rochon","Nowcasting enables policymakers to obtain forecasts of key macroeconomic indicators using higher frequency data, resulting in more timely information to guide proposed policy changes. A significant shortcoming of nowcasting estimators is their “reduced-form” nature, which means they cannot be used to assess the impact of policy changes, for example, on the baseline nowcast of real GDP. This paper outlines two separate methodologies to address this problem. The first is a partial equilibrium approach that uses an existing baseline nowcasting regression and single-equation 𝐴�𝐴�𝐴�𝐴�𝐴�𝐴�𝐴�𝐴�(𝑝�𝑝�,𝑞�𝑞�) forecasting models for the high-frequency data in that regression. The second approach uses a non-parametric structural VAR estimator recently introduced in Ouliaris and Pagan (2022) that imposes minimal identifying restrictions on the data to estimate the impact of structural shocks. Each approach is illustrated using a country-speci",https://www.imf.org/en/Publications/WP/Issues/2023/07/28/Assessing-the-Impact-of-Policy-Changes-on-a-Nowcast-537286,WPIEA2023153,"Fri, 28 Jul 2023 00:00:00 -0400"
