,Title,Link,Date,Author,Number,Abstract
NEWYORK1055,Noncognitive Skills at the Time of COVID-19: An Experiment with Professional Traders and Students,https://www.newyorkfed.org/research/staff_reports/sr1055.html,February 2023,"Marco Angrisani, Marco Cipriani, Antonio  Guarino, Ryan Kendall, and Julen Ortiz de Zarate Pina",1055,"We study the stability of noncognitive skills by comparing experimental results gathered before and during the COVID-19 pandemic. Using a sample of professional traders, we find a significant decrease in agreeableness and locus of control and a moderate decrease in grit. These patterns are primarily driven by those with more negative experiences of the pandemic. Other skills, such as trust, conscientiousness, and self-monitoring, are unchanged. We contrast these results with those from a sample of undergraduate students whose noncognitive skills remain constant (except conscientiousness). Our findings provide evidence against the stability of noncognitive skills, particularly among professional traders."
NEWYORK1061,"Working Remotely? Selection, Treatment, and the Market for Remote Work",https://www.newyorkfed.org/research/staff_reports/sr1061.html,May 2023,Natalia Emanuel and Emma Harrington,1061,"How does remote work affect productivity and how productive are workers who choose remote jobs? We estimate both effects in a U.S. Fortune 500 firm’s call centers that employed both remote and on-site workers in the same jobs. Prior to COVID-19, remote workers answered 12 percent fewer calls per hour than on-site workers. When the call centers closed due to COVID-19, the productivity of formerly on-site workers declined by 4 percent relative to already-remote workers, indicating that a third of the initial gap was due to a negative treatment effect of remote work. Yet an 8 percent productivity gap persisted, indicating that the majority of the productivity gap was due to negative worker selection into remote work. Difference-in-differences designs also indicate that remote work degraded call quality— particularly for inexperienced workers—and reduced workers’ promotion rates. In a model of the market provision of remote work, we find that firms were in a prisoner’s dilemma: all firms would have gained from offering comparable remote and on-site jobs, but any individual firm was loathe to attract less productive workers."
NEWYORK1053,Is the Green Transition Inflationary?,https://www.newyorkfed.org/research/staff_reports/sr1053.html,February 2023,"Marco Del Negro, Julian di Giovanni, and Keshav Dogra",1053,"We develop a two-sector New Keynesian model to analyze the inflationary effects of climate policies. Climate policies do not force a central bank to tolerate higher inflation, but may generate a tradeoff between the central bank's objectives for inflation and real activity. The presence and size of this tradeoff depends on how flexible prices are in the “dirty” and “green” sectors relative to the rest of the economy, and on whether climate policies consist of taxes or subsidies."
NEWYORK1063,Measuring the Natural Rate of Interest after COVID-19,https://www.newyorkfed.org/research/staff_reports/sr1063.html,June 2023,"Kathryn Holston, Thomas Laubach, and John C. Williams",1063,"We modify the Laubach-Williams and Holston-Laubach-Williams models of the natural rate of interest to account for time-varying volatility and a persistent COVID supply shock during the pandemic. Resulting estimates of the natural rate of interest in the United States, Canada, and the Euro Area at the end of 2022 are close to their respective levels estimated directly before the pandemic; that is, we do not find evidence that the era of historically low estimated natural rates of interest has ended. In contrast, estimates of the natural rate of output have declined relative to those projected before the pandemic."
NEWYORK1067,A Measure of Core Wage Inflation,https://www.newyorkfed.org/research/staff_reports/sr1067.html,July 2023,"Martín Almuzara, Richard Audoly, and Davide Melcangi",1067,"We recover the persistent (“core”) component of nominal wage growth over the past twenty-five years in the United States. Our approach combines worker-level data with time-series smoothing methods and can disentangle the common persistence of wage inflation from the persistence specific to some subgroup of workers, such as workers in a particular industry. We find that most of the business cycle fluctuations in wage inflation are persistent and driven by a common factor. This common persistent factor is particularly important during inflationary periods, and it explains 75 to 90 percent of the post-pandemic surge in wage inflation."
NEWYORK1051,International Capital Flow Pressures and Global Factors,https://www.newyorkfed.org/research/staff_reports/sr1051.html,February 2023,Linda S. Goldberg and Signe Krogstrup,1051,"The risk sensitivity of international capital flow pressures is explored using a new Exchange Market Pressure index that combines pressures observed in exchange rate adjustments with model-based estimates of incipient pressures that are masked by foreign exchange interventions and policy rate adjustments. The sensitivity of capital flow pressures to risk sentiment, including for so-called safe-haven currencies, evolves over time, varies significantly across countries, and differs between normal times and extreme stress events. Across countries, risk sensitivities and safe-haven status are associated with self-fulfilling exchange rate expectations and carry trade funding currencies. In contrast, association with more traditional macroeconomic country characteristics is weak."
NEWYORK1059,Climate Stress Testing,https://www.newyorkfed.org/research/staff_reports/sr1059.html,April 2023,"Viral V. Acharya, Richard Berner, Robert Engle, Hyeyoon Jung, Johannes Stroebel, Xuran Zeng, and Yihao Zhao",1059,"We explore the design of climate stress tests to assess and manage macro-prudential risks from climate change in the financial sector. We review the climate stress scenarios currently employed by regulators, highlighting the need to (i) consider many transition risks as dynamic policy choices; (ii) better understand and incorporate feedback loops between climate change and the economy; and (iii) further explore “compound risk” scenarios in which climate risks co-occur with other risks. We discuss how the process of mapping climate stress scenarios into financial firm outcomes can incorporate existing evidence on the effects of various climate-related risks on credit and market outcomes. We argue that more research is required to (i) identify channels through which plausible scenarios can lead to meaningful short-run impact on credit risks, given typical bank loan maturities; (ii) incorporate bank-lending responses to climate risks; (iii) assess the adequacy of climate risk pricing in financial markets; and (iv) better understand how market participants form climate risk expectations and how this affects financial stability. Finally, we discuss the advantages and disadvantages of using market-based climate stress tests that can be conducted using publicly available data to complement existing stress testing frameworks."
NEWYORK1068,Beta-Sorted Portfolios,https://www.newyorkfed.org/research/staff_reports/sr1068.html,July 2023,"Matias D. Cattaneo, Richard K. Crump, and Weining Wang",1068,"Beta-sorted portfolios—portfolios comprised of assets with similar covariation to selected risk factors—are a popular tool in empirical finance to analyze models of (conditional) expected returns. Despite their widespread use, little is known of their statistical properties in contrast to comparable procedures such as two-pass regressions. We formally investigate the properties of beta-sorted portfolio returns by casting the procedure as a two-step nonparametric estimator with a nonparametric first step and a beta-adaptive portfolios construction. Our framework rationalizes the well-known estimation algorithm with precise economic and statistical assumptions on the general data generating process. We provide conditions that ensure consistency and asymptotic normality along with new uniform inference procedures allowing for uncertainty quantification and general hypothesis testing for financial applications. We show that the rate of convergence of the estimator is non-uniform and depends on the beta value of interest. We also show that the widely used Fama-MacBeth variance estimator is asymptotically valid but is conservative in general and can be very conservative in empirically relevant settings. We propose a new variance estimator, which is always consistent and provide an empirical implementation which produces valid inference. In our empirical application we introduce a novel risk factor—a measure of the business credit cycle—and show that it is strongly predictive of both the cross-section and time-series behavior of U.S. stock returns."
NEWYORK1056,Workers’ Perceptions of Earnings Growth and Employment Risk,https://www.newyorkfed.org/research/staff_reports/sr1056.html,February 2023,Gizem Kosar and Wilbert  van der Klaauw,1056,"In addition to realized earnings and employment shocks, forward-looking individuals are presumed to condition their consumption and labor supply decisions on their subjective beliefs about future labor market risks. This paper analyzes these perceptions of earnings and employment risks using rich monthly panel data. It documents considerable individual heterogeneity in expected earnings growth and earnings growth uncertainty and in the perceived likelihood of a voluntary and involuntary job exit. We examine how these expectations evolve over the working life and the business cycle, and how they co-vary with expectations about the macro economy. Our analysis provides novel evidence on the perceived persistence in earnings growth shocks and on the association between future earnings and spending growth."
NEWYORK1048,Does the Community Reinvestment Act Improve Consumers’ Access to Credit?,https://www.newyorkfed.org/research/staff_reports/sr1048.html,January 2023,"Jacob  Conway, Jack N. Glaser, and Matthew C. Plosser",1048,"We study the impact of the Community Reinvestment Act (CRA) on access to consumer credit since 1999 using an individual-level panel and three distinct identification strategies: a regression discontinuity design centered on a CRA-eligibility cutoff; a comparison of neighboring census blocks; and an event study of changes in eligibility. All three rule out a significant effect of the CRA on consumer borrowing. We show that this is in part explained by a shift in mortgages from nonbanks, which are free from CRA obligations, to banks in need of CRA-eligible mortgages. Our findings underscore the pitfalls of a circumscribed regulatory regime."
