,Title,Author,Abstract,Link,Number,Date,Source
NBER31508,Optimal Monetary Policy with r*,"['Roberto M. Billi', 'Jordi Galí', 'Anton Nakov']","We study the optimal monetary policy problem in a New Keynesian economy with a zero lower bound (ZLB) on the nominal interest rate, when the steady state natural rate (r*) becomes permanently negative. We show that the optimal policy aims to approach gradually a new steady state with positive average inflation. Around that steady state, the optimal policy implies well defined (second-best) paths for inflation and output in response to shocks to the natural rate. Under plausible calibrations, the optimal policy implies that the nominal rate remains at its ZLB most of the time. Despite the latter feature, the central bank can implement the optimal outcome as a unique equilibrium by means of an appropriate nonlinear interest rate rule. In order to establish that result, we derive sufficient conditions for local determinacy in a general model with endogenous regime switches.",https://www.nber.org/papers/w31508,31508,July 2023,NBER
FED-BOARD2023-040,Finite-State Markov-Chain Approximations: A Hidden Markov Approach,Eva F. Janssens and Sean McCrary,"This paper proposes a novel finite-state Markov chain approximation method for Markov processes with continuous support, providing both an optimal grid and transition probability matrix. The method can be used for multivariate processes, as well as non-stationary processes such as those with a life-cycle component. The method is based on minimizing the information loss between a Hidden Markov Model and the true data-generating process. We provide sufficient conditions under which this information loss can be made arbitrarily small if enough grid points are used. We compare our method to existing methods through the lens of an asset-pricing model, and a life-cycle consumption-savings model. We find our method leads to more parsimonious discretizations and more accurate solutions, and the discretization matters for the welfare costs of risk, the marginal propensities to consume, and the amount of wealth inequality a life-cycle model can generate.",https://www.federalreserve.gov/econres/feds/finite-state-markov-chain-approximations-a-hidden-markov-approach.htm,2023-040,June 2023,FED-BOARD
NBER31464,The Credit Supply Channel of Monetary Policy Tightening and its Distributional Impacts,"['Joshua Bosshardt', 'Marco Di Maggio', 'Ali Kakhbod', 'Amir Kermani']","This paper studies how tightening monetary policy transmits to the economy through the mortgage market and sheds new light on the distributional consequences at both the individual and regional levels. We find that credit supply factors, specifically restrictions on the debt-to-income (DTI) ratio, account for the majority of the decline in mortgages. These effects are even more pronounced for young and middle-income borrowers who find themselves excluded from the credit market. Also, regions with historically high DTI ratios exhibited greater reductions in mortgage originations, house prices, and consumption.",https://www.nber.org/papers/w31464,31464,July 2023,NBER
NBER31484,Aggregate Lending and Modern Financial Intermediation: Why Bank Balance Sheet Models are Miscalibrated,"['Greg Buchak', 'Gregor Matvos', 'Tomasz Piskorski', 'Amit Seru']","Existing macroeconomic models focused on bank balance sheet lending are deficient because they do not account for the modern industrial organization of financial intermediation. Utilizing publicly available micro-level lending data, we investigate two increasingly significant margins of adjustment in credit markets: banks’ ability to sell loans and shadow bank activity. These adjustment margins are substantial and vary across time and regions with different incomes. We examine these margins in a parsimonious dynamic quantitative model featuring banks with balance sheet adjustment through loan sales and shadow banks. Using the calibrated model, we illustrate that these margins significantly dampen the immediate contraction following bank capital shock. Recovery is also faster, because profitable loan sales (e.g., securitization) allow banks to build capital faster and because shadow banks pick up lending slack. Failure to account for adjustment margins leads to significant errors when studying policies which rely on financial intermediation pass-through in the level of aggregate lending, its direction, and composition. Our model highlights the tension between bank balance sheet models and data. The model, which forces total lending to depend strongly on bank balance sheet health, must reconcile the weak correlation between bank capital and aggregate lending.  These issues can be reconciled with now available data from bank balance sheets, overall bank lending, and aggregate lending, in conjunction with a model of modern financial intermediation.",https://www.nber.org/papers/w31484,31484,July 2023,NBER
FED-NEWYORK1046,Assessing the Relative Progressivity of the Biden Administration’s Federal Student Loan Forgiveness Proposal,"Jacob Goss, Daniel Mangrum, and Joelle W. Scally","We quantify the total stock of balances eligible for the Biden Administration’s student loan forgiveness policy announced and examine which groups benefit most. Up to $442 billion in loans are eligible. Those benefiting most are younger, have lower credit scores, and live in lower- and middle-income neighborhoods. We also find that Black and Hispanic borrowers disproportionately benefit from the proposal. We then compare the distribution of beneficiaries for the announced policy to several alternative hypothetical forgiveness proposals and three existing tax credits. The additional forgiveness for Pell grant recipients increased the progressivity of the policy at a cost of $129 billion. Reducing the income eligibility criterion in half from the announced policy would have reduced the cost by nearly $100 billion and made the policy more progressive. Compared to existing tax credits, the announced forgiveness policy is less progressive than the Earned Income Tax Credit but more progressive than the 2019 Child Tax Credit and higher education tax credits. We conclude by describing the remaining federal portfolio if the policy is implemented, and we summarize current credit conditions for federal borrowers. Rising credit card and auto delinquencies for borrowers with paused payments foreshadow future credit difficulties for borrowers if federal loan payments resume without relief.",https://www.newyorkfed.org/research/staff_reports/sr1046.html,1046,January 2023,FED-NEWYORK
NBER31481,The Impact of Money in Politics on Labor and Capital: Evidence from Citizens United v. FEC,"['Pat Akey', 'Tania Babina', 'Greg Buchak', 'Ana-Maria Tenekedjieva']","We examine whether corporate money in politics benefits or hurts labor using the 2010 Supreme Court ruling Citizens United, which rendered bans on political election spending unconstitutional. In difference-in-difference analyses, affected states experience increases in both capital and labor income relative to unaffected states. We find evidence consistent with increased political spending spurring political competition and the adoption of pro-growth policies. These policies benefit a broader set of constituents as we find a broad-based increase in labor income. Affected states see increased political turnover and reduced regulatory burdens.  The economic effects are stronger among ex-ante politically inactive and younger firms.",https://www.nber.org/papers/w31481,31481,July 2023,NBER
FED-NEWYORK1049,Sparse Trend Estimation,"Richard K. Crump, Nikolay Gospodinov, and Hunter Wieman","The low-frequency movements of many economic variables play a prominent role in policy analysis and decision-making. We develop a robust estimation approach for these slow-moving trend processes, which is guided by a judicious choice of priors and is characterized by sparsity. We present some novel stylized facts from longer-run survey expectations that inform the structure of the estimation procedure. The general version of the proposed Bayesian estimator with a slab-and-spike prior accounts explicitly for cyclical dynamics. The practical implementation of the method is discussed in detail, and we show that it performs well in simulations against some relevant benchmarks. We report empirical estimates of trend growth for U.S. output (and its components), productivity, and annual mean temperature. These estimates allow policymakers to assess shortfalls and overshoots in these variables from their economic and ecological targets.",https://www.newyorkfed.org/research/staff_reports/sr1049.html,1049,February 2023,FED-NEWYORK
FED-BOARD2023-037,Firm Financial Conditions and the Transmission of Monetary Policy,"Thiago R.T. Ferreira, Daniel A. Ostry, John Rogers","We study how the transmission of monetary policy to firms' investment and credit spreads depends on their financial conditions, finding a major role for their excess bond premia (EBPs), the component of credit spreads in excess of default risk. While monetary policy easing shocks compress credit spreads more for firms with higher ex-ante EBPs, it is lower-EBP firms that invest more. We rationalize these findings using a model with financial frictions in which lower-EBP firms have flatter marginal product of capital curves. We also show empirically that the cross-sectional distribution of firm EBPs determines the aggregate effectiveness of monetary policy.",https://www.federalreserve.gov/econres/feds/firm-financial-conditions-and-the-transmission-of-monetary-policy.htm,2023-037,June 2023,FED-BOARD
FED-BOARD2023-035,Measuring Job Loss during the Pandemic Recession in Real Time with Twitter Data,"Anbar Aizenman, Connor M. Brennan, Tomaz Cajner, Cynthia Doniger, Jacob Williams","We present an indicator of job loss derived from Twitter data, based on a fine-tuned neural network with transfer learning to classify if a tweet is job-loss related or not. We show that our Twitter-based measure of job loss is well-correlated with and predictive of other measures of unemployment available in the official statistics and with the added benefits of real-time availability and daily frequency. These findings are especially strong for the period of the Pandemic Recession, when our Twitter indicator continues to track job loss well but where other real-time measures like unemployment insurance claims provided an imperfect signal of job loss. Additionally, we find that our Twitter job loss indicator provides incremental information in predicting official unemployment flows in a given month beyond what weekly unemployment insurance claims offer.",https://www.federalreserve.gov/econres/feds/measuring-job-loss-during-the-pandemic-recession-in-real-time-with-twitter-data.htm,2023-035,May 2023,FED-BOARD
NBER31487,Innovation and the Enforceability of Noncompete Agreements,"['Matthew S. Johnson', 'Michael Lipsitz', 'Alison Pei']","Worker mobility across firms can enhance innovation by spreading knowledge, but such mobility may also hinder innovation by making firms reluctant to invest in R&D. A common way that firms limit workers' mobility is with noncompete agreements (NCAs). We examine how the legal enforceability of NCAs affects innovation, as measured by patenting, using data on every state-level NCA enforceability change between 1991–2014. We find that making NCAs easier to enforce (“stricter” enforceability) substantially reduces the rate of patenting: an average-sized increase in NCA enforceability leads a state to have 16-19% fewer citation-weighted patents over the following 10 years.  This effect reflects a true loss in innovation rather than a reduction in useless or strategic patents. We then reconcile these findings with contrasting theoretical predictions.  Stricter NCA enforceability reduces job mobility and new business formation in innovative industries, suggesting slower knowledge spread.  Within publicly-traded firms, stricter NCA enforceability increases investment, but still leads to less innovation, suggesting that any gains from enhanced incentives to invest are more than offset by other ways that NCAs slow down innovation. Finally, using variation in technology classes’ exposure to NCA enforceability changes, we show that the economy-wide losses to innovation from strict enforceability are even larger than what our state-level estimates imply.",https://www.nber.org/papers/w31487,31487,July 2023,NBER
